 x    y    z    Ex    Ey    Ez
  -20.000000000000000       -18.000000000000000       -2.0000000000000000       -6.1057254775054672E-004  -5.4951531033147524E-004  -6.1057256703497253E-005
  -20.000000000000000       -18.000000000000000        0.0000000000000000       -6.1312694852583131E-004  -5.5181420564120228E-004   0.0000000000000000     
  -20.000000000000000       -18.000000000000000        2.0000000000000000       -6.1057254775054672E-004  -5.4951531033147524E-004   6.1057256703497253E-005
  -20.000000000000000       -18.000000000000000        4.0000000000000000       -6.0301425008326098E-004  -5.4271266247493113E-004   1.2060281388331802E-004
  -20.000000000000000       -18.000000000000000        6.0000000000000000       -5.9075925089524430E-004  -5.3168332516290205E-004   1.7722777505430070E-004
  -20.000000000000000       -18.000000000000000        8.0000000000000000       -5.7428562915759550E-004  -5.1685700596497766E-004   2.2971422487332339E-004
  -20.000000000000000       -18.000000000000000        10.000000000000000       -5.5420337487857270E-004  -4.9878317811917071E-004   2.7710176562176155E-004
  -20.000000000000000       -18.000000000000000        12.000000000000000       -5.3120223839145538E-004  -4.7808219806395148E-004   3.1872146537596763E-004
  -20.000000000000000       -18.000000000000000        14.000000000000000       -5.0600320613861821E-004  -4.5540272732632096E-004   3.5420212125380520E-004
  -20.000000000000000       -18.000000000000000        16.000000000000000       -4.7931448804073879E-004  -4.3138306546535002E-004   3.8345161374697776E-004
  -20.000000000000000       -18.000000000000000        18.000000000000000       -4.5179217712704585E-004  -4.0661282247516050E-004   4.0661282247516050E-004
  -20.000000000000000       -18.000000000000000        20.000000000000000       -4.2401894672498624E-004  -3.8161712175809157E-004   4.2401902417565728E-004
  -20.000000000000000       -16.000000000000000       -20.000000000000000       -4.4872787559948479E-004  -3.5898238487004549E-004  -4.4872798108755685E-004
  -20.000000000000000       -16.000000000000000       -18.000000000000000       -4.7931448804073879E-004  -3.8345161374697776E-004  -4.3138306546535002E-004
  -20.000000000000000       -16.000000000000000       -16.000000000000000       -5.0974907436779143E-004  -4.0779932782834106E-004  -4.0779932782834106E-004
  -20.000000000000000       -16.000000000000000       -14.000000000000000       -5.3937902101425348E-004  -4.3150328762875259E-004  -3.7756537667515847E-004
  -20.000000000000000       -16.000000000000000       -12.000000000000000       -5.6745873753307515E-004  -4.5396711193075259E-004  -3.4047533394806443E-004
  -20.000000000000000       -16.000000000000000       -10.000000000000000       -5.9317718584251289E-004  -4.7454192334839523E-004  -2.9658870209274698E-004
  -20.000000000000000       -16.000000000000000       -8.0000000000000000       -6.1569958012342373E-004  -4.9255978570740663E-004  -2.4627989285370332E-004
  -20.000000000000000       -16.000000000000000       -6.0000000000000000       -6.3422132046355340E-004  -5.0737721594267503E-004  -1.9026645597850316E-004
  -20.000000000000000       -16.000000000000000       -4.0000000000000000       -6.4802723493432961E-004  -5.1842188833100308E-004  -1.2960547208275077E-004
  -20.000000000000000       -16.000000000000000       -2.0000000000000000       -6.5655267581202865E-004  -5.2524197650650627E-004  -6.5655247063313283E-005
  -20.000000000000000       -16.000000000000000        0.0000000000000000       -6.5943674424698067E-004  -5.2754949413180772E-004   0.0000000000000000     
  -20.000000000000000       -16.000000000000000        2.0000000000000000       -6.5655267581202865E-004  -5.2524197650650627E-004   6.5655247063313283E-005
  -20.000000000000000       -16.000000000000000        4.0000000000000000       -6.4802723493432961E-004  -5.1842188833100308E-004   1.2960547208275077E-004
  -20.000000000000000       -16.000000000000000        6.0000000000000000       -6.3422132046355340E-004  -5.0737721594267503E-004   1.9026645597850316E-004
  -20.000000000000000       -16.000000000000000        8.0000000000000000       -6.1569958012342373E-004  -4.9255978570740663E-004   2.4627989285370332E-004
  -20.000000000000000       -16.000000000000000        10.000000000000000       -5.9317718584251289E-004  -4.7454192334839523E-004   2.9658870209274698E-004
